V1	V2	V3
CAGL0B00484g	ORF|Uncharacterized	NULL
CAGL0B00506g	ORF|Uncharacterized	NULL
CAGL0B00528g	ORF|Uncharacterized	NULL
CAGL0B00550g	ORF|Uncharacterized	NULL
CAGL0B00572g	ORF|Uncharacterized	NULL
CAGL0B00594g	ORF|Uncharacterized	NULL
CAGL0B00616g	ORF|Uncharacterized	NULL
CAGL0B00638g	ORF|Uncharacterized	NULL
CAGL0B00660g	ORF|Uncharacterized	NULL
CAGL0B00682g	ORF|Uncharacterized	NULL
CAGL0B00704g	ORF|Uncharacterized	NULL
CAGL0B00715g	ORF|Uncharacterized	NULL
CAGL0B00726g	ORF|Uncharacterized	NULL
CAGL0B00748g	ORF|Uncharacterized	NULL
CAGL0B00770g	ORF|Uncharacterized	NULL
CAGL0B00792g	ORF|Uncharacterized	NULL
CAGL0B00814g	ORF|Uncharacterized	NULL
CAGL0B00836g	ORF|Uncharacterized	NULL
CAGL0B00858g	ORF|Uncharacterized	NULL
CAGL0B00880g	ORF|Uncharacterized	NULL
CAGL0B00902g	ORF|Uncharacterized	NULL
CAGL0B00924g	ORF|Uncharacterized	NULL
CAGL0B00946g	ORF|Uncharacterized	NULL
CAGL0B00968g	ORF|Uncharacterized	NULL
CAGL0B00990g	ORF|Uncharacterized	NULL
CAGL0B01012g	ORF|Uncharacterized	NULL
CAGL0B01034r	tRNA|Uncharacterized	NULL
CAGL0B01078g	ORF|Uncharacterized	NULL
CAGL0B01100g	ORF|Verified	NULL
CAGL0B01122g	ORF|Uncharacterized	NULL
CAGL0B01144g	ORF|Uncharacterized	NULL
CAGL0B01166g	ORF|Uncharacterized	NULL
CAGL0B01188g	ORF|Uncharacterized	NULL
CAGL0B01203g	ORF|Uncharacterized	NULL
CAGL0B01232g	ORF|Uncharacterized	NULL
CAGL0B01243g	ORF|Uncharacterized	NULL
CAGL0B01265g	ORF|Uncharacterized	NULL
CAGL0B01287g	ORF|Uncharacterized	NULL
CAGL0B01309r	tRNA|Uncharacterized	NULL
CAGL0B01331g	ORF|Uncharacterized	NULL
CAGL0B01353g	ORF|Uncharacterized	NULL
CAGL0B01375g	ORF|Uncharacterized	NULL
CAGL0B01397g	ORF|Uncharacterized	NULL
CAGL0B01419g	ORF|Uncharacterized	NULL
CAGL0B01441g	ORF|Uncharacterized	NULL
CAGL0B01463g	ORF|Uncharacterized	NULL
CAGL0B01485g	ORF|Uncharacterized	NULL
CAGL0B01507g	ORF|Uncharacterized	NULL
CAGL0B01529g	ORF|Uncharacterized	NULL
CAGL0B01551g	ORF|Uncharacterized	NULL
CAGL0B01573g	ORF|Uncharacterized	NULL
CAGL0B01589g	ORF|Uncharacterized	NULL
CAGL0B01595g	ORF|Uncharacterized	NULL
CAGL0B01617g	ORF|Uncharacterized	NULL
CAGL0B01639g	ORF|Uncharacterized	NULL
CAGL0B01661r	tRNA|Uncharacterized	NULL
CAGL0B01683g	ORF|Uncharacterized	NULL
CAGL0B01705g	ORF|Uncharacterized	NULL
CAGL0B01727g	ORF|Uncharacterized	NULL
CAGL0B01743g	pseudogene	NULL
CAGL0B01771g	ORF|Uncharacterized	NULL
CAGL0B01793g	ORF|Uncharacterized	NULL
CAGL0B01815g	ORF|Uncharacterized	NULL
CAGL0B01837g	ORF|Uncharacterized	NULL
CAGL0B01859g	ORF|Uncharacterized	NULL
CAGL0B01875g	ORF|Uncharacterized	NULL
CAGL0B01881g	ORF|Uncharacterized	NULL
CAGL0B01903g	ORF|Uncharacterized	NULL
CAGL0B01925g	ORF|Uncharacterized	NULL
CAGL0B01947g	ORF|Verified	NULL
CAGL0B01969g	ORF|Uncharacterized	NULL
CAGL0B01991g	ORF|Uncharacterized	NULL
CAGL0B02013g	ORF|Uncharacterized	NULL
CAGL0B02035g	ORF|Uncharacterized	NULL
CAGL0B02057g	ORF|Uncharacterized	NULL
CAGL0B02079g	ORF|Uncharacterized	NULL
CAGL0B02101g	ORF|Uncharacterized	NULL
CAGL0B02123g	ORF|Uncharacterized	NULL
CAGL0B02137r	ncRNA|Uncharacterized	NULL
CAGL0B02145g	ORF|Uncharacterized	NULL
CAGL0B02167g	ORF|Uncharacterized	NULL
CAGL0B02189g	ORF|Uncharacterized	NULL
